2024-01-02 09:00:00+00:00,0,0,0,0,0,0,0
2024-01-02 09:01:00+00:00,0,0,0,0,0,0,0
2024-01-02 09:02:00+00:00,0,0,0,0,0,0,0
2024-01-02 09:03:00+00:00,0,0,0,0,0,0,0
2024-01-02 09:04:00+00:00,0,0,0,0,0,0,0
2024-01-02 09:05:00+00:00,0,0,0,0,0,0,0
2024-01-02 09:06:00+00:00,0,0,0,0,0,50.9266,0
2024-01-02 09:07:00+00:00,0,0,0,0,0,50.0366,0
2024-01-02 09:08:00+00:00,0,0,0,0,0,49.4928,0
2024-01-02 09:09:00+00:00,189.961,189.769,190.153,0,0,49.6023,0
2024-01-02 09:10:00+00:00,189.938,189.829,190.047,0,0,49.7473,0
2024-01-02 09:11:00+00:00,189.93,189.828,190.032,0,0,50.0723,0
2024-01-02 09:13:00+00:00,189.938,189.863,190.013,0,0,50.1808,0
2024-01-02 09:14:00+00:00,189.948,189.887,190.009,9.88372,0,50.0725,0
2024-01-02 09:17:00+00:00,189.955,189.902,190.008,51.5152,0,49.9638,0
2024-01-02 09:19:00+00:00,189.961,189.903,190.019,100,53.7996,49.9276,0
2024-01-02 09:21:00+00:00,189.969,189.898,190.04,100,83.8384,49.7826,0
2024-01-02 09:22:00+00:00,189.975,189.89,190.06,100,100,49.53,0
2024-01-02 09:23:00+00:00,189.989,189.876,190.102,100,100,49.2754,0
2024-01-02 09:24:00+00:00,190.001,189.871,190.131,95.2381,98.4127,49.5314,0
2024-01-02 09:25:00+00:00,190.013,189.874,190.152,90.4762,95.2381,49.5671,0
2024-01-02 09:26:00+00:00,190.031,189.899,190.163,95.2381,93.6508,49.6398,0
2024-01-02 09:27:00+00:00,190.051,189.947,190.155,95.2381,93.6508,49.7484,0
2024-01-02 09:29:00+00:00,190.059,189.969,190.149,71.4286,87.3016,50,0
2024-01-02 09:30:00+00:00,190.067,189.999,190.135,71.4286,79.3651,50.1795,0
2024-01-02 09:33:00+00:00,190.076,190.024,190.128,90.4762,77.7778,50.036,0
2024-01-02 09:35:00+00:00,190.08,190.037,190.123,71.4286,77.7778,50.072,0
2024-01-02 09:36:00+00:00,190.083,190.045,190.121,78.5714,80.1587,50.072,32.8537
2024-01-02 09:37:00+00:00,190.073,190.012,190.134,21.4286,57.1429,50.3623,31.6357
2024-01-02 09:38:00+00:00,190.062,189.987,190.137,0,33.3333,50.2168,30.0228
2024-01-02 09:39:00+00:00,190.048,189.95,190.146,0,7.14286,50.3623,30.6022
2024-01-02 09:40:00+00:00,190.026,189.892,190.16,0,0,50.7625,32.1301
2024-01-02 09:44:00+00:00,190.005,189.859,190.151,4.34783,1.44928,50.6531,35.6204
2024-01-02 09:46:00+00:00,189.991,189.838,190.144,13.0435,5.7971,50.6173,36.8372
2024-01-02 09:47:00+00:00,189.976,189.82,190.132,8.69565,8.69565,50.3613,38.4401
2024-01-02 09:55:00+00:00,189.956,189.813,190.099,4.34783,8.69565,50.3613,41.0375
2024-01-02 09:58:00+00:00,189.944,189.823,190.065,33.3333,15.4589,50,41.324
2024-01-02 10:01:00+00:00,189.936,189.845,190.027,57.1429,31.608,49.5665,41.088
2024-01-02 10:03:00+00:00,189.936,189.845,190.027,57.1429,49.2063,49.6029,40.3385
2024-01-02 10:05:00+00:00,189.943,189.828,190.058,90,68.0952,49.4569,37.2898
2024-01-02 10:06:00+00:00,189.956,189.815,190.097,100,82.381,49.3478,33.1702
2024-01-02 10:08:00+00:00,189.978,189.823,190.133,100,96.6667,49.2386,29.4559
2024-01-02 10:09:00+00:00,189.999,189.841,190.157,100,100,49.4585,29.725
2024-01-02 10:11:00+00:00,190.018,189.861,190.175,100,100,49.6403,31.0819
2024-01-02 10:13:00+00:00,190.04,189.894,190.186,100,100,49.5677,32.6837
2024-01-02 10:17:00+00:00,190.066,189.946,190.186,100,100,49.6765,35.5023
2024-01-02 10:18:00+00:00,190.086,189.985,190.187,100,100,49.7487,36.7523
2024-01-02 10:19:00+00:00,190.106,190.002,190.21,100,100,49.6403,38.4839
2024-01-02 10:20:00+00:00,190.126,190.035,190.217,100,100,49.6403,40.6213
2024-01-02 10:21:00+00:00,190.144,190.042,190.246,100,100,49.4949,42.8106
2024-01-02 10:27:00+00:00,190.141,190.03,190.252,20.8333,73.6111,50.2557,40.8407
2024-01-02 10:28:00+00:00,190.136,190.014,190.258,20.8333,47.2222,50.3644,39.9655
2024-01-02 10:30:00+00:00,190.127,189.984,190.27,0,13.8889,50.5117,38.6142
2024-01-02 10:36:00+00:00,190.127,189.984,190.27,39.1304,19.9879,50.3666,38.5117
2024-01-02 10:43:00+00:00,190.13,189.987,190.273,60.8696,33.3333,50.184,39.1392
2024-01-02 10:45:00+00:00,190.127,189.984,190.27,47.8261,49.2754,50.4412,39.2691
2024-01-02 10:46:00+00:00,190.124,189.982,190.266,47.8261,52.1739,49.7462,38.1823
2024-01-02 10:47:00+00:00,190.114,189.981,190.247,39.1304,44.9275,49.8184,36.595
2024-01-02 10:54:00+00:00,190.103,189.983,190.223,34.7826,40.5797,49.7101,34.0434
2024-01-02 10:57:00+00:00,190.08,189.989,190.171,0,24.6377,50.3259,29.9958
2024-01-02 10:58:00+00:00,190.077,189.981,190.173,12,15.5942,50.4693,26.1248
2024-01-02 10:59:00+00:00,190.048,189.834,190.262,11.1111,7.7037,51.3216,24.4335
2024-01-02 11:00:00+00:00,189.999,189.615,190.383,0,7.7037,52.2422,22.8538
2024-01-02 11:01:00+00:00,189.94,189.466,190.414,0,3.7037,52.2031,21.2818
