date,open,highest,lowest,close,volume
2024-01-02 09:00:00+00:00,191.52,191.52,190,190.2,18933
2024-01-02 09:01:00+00:00,190.11,190.13,190,190,8562
2024-01-02 09:02:00+00:00,189.9,189.9,189.82,189.82,5355
2024-01-02 09:03:00+00:00,189.87,189.87,189.8,189.87,4405
2024-01-02 09:04:00+00:00,189.9,189.95,189.9,189.9,2225
2024-01-02 09:05:00+00:00,189.9,189.94,189.82,189.94,3534
2024-01-02 09:06:00+00:00,189.95,189.95,189.94,189.95,1137
2024-01-02 09:07:00+00:00,190,190,189.99,189.99,2220
2024-01-02 09:08:00+00:00,189.99,189.99,189.96,189.96,1202
2024-01-02 09:09:00+00:00,189.98,189.99,189.98,189.98,543
2024-01-02 09:10:00+00:00,189.96,189.97,189.96,189.97,1217
2024-01-02 09:11:00+00:00,189.94,189.95,189.92,189.92,1054
2024-01-02 09:13:00+00:00,189.91,189.91,189.9,189.9,906
2024-01-02 09:14:00+00:00,189.97,189.97,189.97,189.97,270
2024-01-02 09:17:00+00:00,189.97,189.97,189.97,189.97,1052
2024-01-02 09:19:00+00:00,189.97,190,189.97,190,2392
2024-01-02 09:21:00+00:00,190.03,190.03,190.03,190.03,901
2024-01-02 09:22:00+00:00,190.05,190.05,190.05,190.05,304
2024-01-02 09:23:00+00:00,190.1,190.1,190.1,190.1,523
2024-01-02 09:24:00+00:00,190.11,190.11,190.1,190.1,703
2024-01-02 09:25:00+00:00,190.09,190.09,190.09,190.09,438
2024-01-02 09:26:00+00:00,190.1,190.1,190.1,190.1,518
2024-01-02 09:27:00+00:00,190.11,190.11,190.1,190.1,671
2024-01-02 09:29:00+00:00,190.08,190.08,190.05,190.05,1439
2024-01-02 09:30:00+00:00,190.07,190.07,190.05,190.05,1271
2024-01-02 09:33:00+00:00,190.06,190.09,190.06,190.09,2154
2024-01-02 09:35:00+00:00,190.07,190.07,190.07,190.07,220
2024-01-02 09:36:00+00:00,190.08,190.08,190.08,190.08,188
2024-01-02 09:37:00+00:00,190.02,190.02,190,190,2104
2024-01-02 09:38:00+00:00,189.99,189.99,189.99,189.99,846
2024-01-02 09:39:00+00:00,189.96,189.96,189.95,189.95,1092
2024-01-02 09:40:00+00:00,189.9,189.9,189.88,189.88,3261
2024-01-02 09:44:00+00:00,189.89,189.89,189.89,189.89,657
2024-01-02 09:46:00+00:00,189.91,189.91,189.91,189.91,1041
2024-01-02 09:47:00+00:00,189.9,189.9,189.9,189.9,2541
2024-01-02 09:55:00+00:00,189.9,189.9,189.89,189.89,2201
2024-01-02 09:58:00+00:00,189.95,189.96,189.95,189.95,411
2024-01-02 10:01:00+00:00,190,190,190,190,1599
2024-01-02 10:03:00+00:00,190,190,190,190,483
2024-01-02 10:05:00+00:00,190.02,190.06,190.02,190.06,722
2024-01-02 10:06:00+00:00,190.08,190.08,190.08,190.08,300
2024-01-02 10:08:00+00:00,190.1,190.1,190.1,190.1,448
2024-01-02 10:09:00+00:00,190.09,190.1,190.09,190.1,1066
2024-01-02 10:11:00+00:00,190.09,190.1,190.09,190.1,2154
2024-01-02 10:13:00+00:00,190.12,190.12,190.12,190.12,711
2024-01-02 10:17:00+00:00,190.15,190.15,190.15,190.15,286
2024-01-02 10:18:00+00:00,190.15,190.15,190.15,190.15,646
2024-01-02 10:19:00+00:00,190.19,190.2,190.19,190.2,994
2024-01-02 10:20:00+00:00,190.2,190.2,190.2,190.2,232
2024-01-02 10:21:00+00:00,190.24,190.24,190.24,190.24,976
2024-01-02 10:27:00+00:00,190.15,190.15,190.05,190.05,1351
2024-01-02 10:28:00+00:00,190.04,190.05,190.04,190.05,1146
2024-01-02 10:30:00+00:00,190.01,190.01,190.01,190.01,1173
2024-01-02 10:36:00+00:00,190.1,190.1,190.1,190.1,424
2024-01-02 10:43:00+00:00,190.15,190.15,190.15,190.15,605
2024-01-02 10:45:00+00:00,190.12,190.12,190.12,190.12,386
2024-01-02 10:46:00+00:00,190.12,190.12,190.12,190.12,302
2024-01-02 10:47:00+00:00,190.1,190.1,190.1,190.1,349
2024-01-02 10:54:00+00:00,190.09,190.09,190.09,190.09,301
2024-01-02 10:57:00+00:00,190.01,190.01,190.01,190.01,486
2024-01-02 10:58:00+00:00,190.01,190.02,189.99,190.02,3571
2024-01-02 10:59:00+00:00,189.94,189.94,189.7,189.76,9144
2024-01-02 11:00:00+00:00,189.68,189.68,189.52,189.52,3389
2024-01-02 11:01:00+00:00,189.51,189.51,189.51,189.51,375
2024-01-02 11:02:00+00:00,189.55,189.55,189.39,189.39,2869
2024-01-02 11:03:00+00:00,189.47,189.5,189.44,189.44,1113
2024-01-02 11:04:00+00:00,189.54,189.54,189.54,189.54,264
2024-01-02 11:05:00+00:00,189.55,189.55,189.55,189.55,2460
2024-01-02 11:06:00+00:00,189.55,189.55,189.55,189.55,1493
2024-01-02 11:07:00+00:00,189.6,189.63,189.6,189.63,516
2024-01-02 11:08:00+00:00,189.59,189.59,189.55,189.55,1059
2024-01-02 11:09:00+00:00,189.68,189.68,189.68,189.68,890
